Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,United Kingdom,GBR,-0.653865880999232,-2.26714274409742,-3.08584670218578,-1.84568577528255,-1.72678276794818,-2.34343765566202,-0.791520563796853,-1.31170737708889,-1.43271154068932,..
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,United Kingdom,GBR,-17461161419.144,-60667152832.126,-84133758827.074,-55425574694.58,-49474398441.037,-61582260778.08,-20813191529.151,-36991853253.497,-39812331563.829,..
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,United Kingdom,GBR,0.0624168183733793,0.0582819859924581,0.0553257865737611,0.0510933948437509,0.0493943277089726,0.0486961840666721,0.0463115576562269,0.0463115576562269,0.0458602282612819,..
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,United Kingdom,GBR,1666809926.25191,1559585147.76798,1508424375.46165,1534324428.47887,1415206762.05532,1279667542.61445,1217771670.88202,1306046130.93055,1274368608.94733,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,United Kingdom,GBR,19.8548,18.479,17.4572,16.4354,15.4136,14.3918,13.37,12.641,11.912,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,United Kingdom,GBR,1.62988996505737,6.02610015869141,3.33517003059387,3.46449995040894,1.82056999206543,..,0.127790004014969,0.122699998319149,..,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,United Kingdom,GBR,1.56111001968384,6.03074979782104,3.35113000869751,3.52517008781433,1.88952994346619,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,United Kingdom,GBR,1.6954300403595,6.02166986465454,3.31993007659912,3.40661001205444,1.75478005409241,..,..,..,..,..
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,United Kingdom,GBR,52.3437488711275,53.042456908844,53.7606423008909,54.4638463687415,55.1110276647482,55.6373585302383,56.0698960446915,56.4307461886856,56.7506119684217,57.0613740551911
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,United Kingdom,GBR,25.6061353059499,26.1796590302504,26.80027378907,27.383395182028,27.8799819715837,28.2612149638236,28.5469551928961,28.776790862684,29.0124933165079,29.2972034785198
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,United Kingdom,GBR,26.7376135651776,26.8627978785937,26.9603685118209,27.0804511867136,27.2310456931644,27.3761435664148,27.5229408517953,27.6539553260015,27.7381186519138,27.7641705766713
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,United Kingdom,GBR,..,..,0.283648885230316,..,..,..,..,0.413905093911878,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,United Kingdom,GBR,70.9461414458728,71.020543132311,71.3024428553714,71.2272144835283,70.8386723432398,71.7148836440293,72.1950667548465,71.7185202331253,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,United Kingdom,GBR,171640,171820,172502,172320,171380,173499.818,174661.525,173508.616,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,United Kingdom,GBR,27610,27610,27610,27610,27610,27610,27610,27610,..,..
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,United Kingdom,GBR,23090,23090,23090,23090,23090,23090,23090,23090,..,..
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,United Kingdom,GBR,0.703236034013495,0.710957205660162,0.605240658437705,0.644393573200772,0.586423799991003,0.59202067564434,0.544383234136038,0.488454457094834,0.452674416122954,0.435733113876479
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,United Kingdom,GBR,1.09876423239469,0.970535990049407,1.15167451433103,1.24898640944631,1.26314437674945,1.16947696890087,1.18619425196648,1.28073782665446,1.15669274880503,1.22074515788711
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,United Kingdom,GBR,0.696988990694164,0.643778077662303,0.644709762651544,0.754961868118655,0.647464812431074,0.576173402476147,0.573629478957654,0.568916122573994,0.58828913687383,0.574942034687806
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,United Kingdom,GBR,12.1183903746485,-8.50904795794767,0.635146262379877,13.623656270776,-0.00793243049508874,-5.96777697320782,6.3127686417652,-3.27062536141692,6.44234748613783,-10.0154201962438
"Agriculture, forestry, and fishing, value added (constant 2010 US$)",NV.AGR.TOTL.KD,United Kingdom,GBR,16894521594.8942,15456958650.1188,15555132945.2627,17674310790.1875,17672908787.7686,16618229006.6361,17667299356.1838,17089468182.763,18190431106.6295,16368582995.7923
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,United Kingdom,GBR,11881576000,10870567000,10939611000,12429986000,12429000000,11687265000,12425055000,12018678000,12792963000,11511694000
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,United Kingdom,GBR,11571000000,11020000000,11478000000,14065000000,12429000000,11493000000,11867000000,12185000000,13047000000,12143000000
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,United Kingdom,GBR,18539084990.7648,17407870496.1404,17943891497.6182,23143515435.0598,18988749292.5486,15517776397.5895,15272793204.0051,16255734382.9143,16653368351.2318,15567957166.6161
"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",NV.AGR.EMPL.KD,United Kingdom,GBR,46719.8201284693,43275.5410288184,48233.5204008823,45007.2152242621,48894.5755185966,45704.0060721455,46802.0274867296,48459.8120327262,51960.6213105113,..
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,United Kingdom,GBR,6280.25098328964,6243.54285285133,6031.574712,5974.825151208,5423.17313862741,5512.672996428,5915.641,6198.37,5851.19,..
"Air transport, passengers carried",IS.AIR.PSGR,United Kingdom,GBR,111598546.141229,115419920.565667,118605866,124901676.052681,131512994,143781714,151159067,165388610,142392528,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,United Kingdom,GBR,1062692,1050702.90909091,1052640,1064175.7,1104117,1180312,1182696,1242985,1061464,..
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,United Kingdom,GBR,10.8080732504418,10.9085227804939,11.4340020904081,11.5812862238081,13.1204197977575,..,..,..,..,..
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,United Kingdom,GBR,..,12.77087899,..,..,..,..,14.04988124,..,..,..
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,United Kingdom,GBR,..,70.9520331142,..,..,..,..,73.9548693587,..,..,..
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,United Kingdom,GBR,..,13.6596055515,..,..,..,..,11.9952494062,..,..,..
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,United Kingdom,GBR,..,5.52896551724138,..,..,..,..,5.80620689655172,..,..,..
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,United Kingdom,GBR,..,8.017,..,..,..,..,8.419,..,..,..
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,United Kingdom,GBR,..,..,..,..,..,..,1.19,..,..,..
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,United Kingdom,GBR,..,..,..,..,..,..,2.66,..,..,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Aquaculture production (metric tons),ER.FSH.AQUA.MT,United Kingdom,GBR,198967.59375,205594.703125,203263,214707.34375,211749.421875,194492.171875,222611.109375,197618,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,United Kingdom,GBR,25.0568346215848,25.6768486752366,25.8975736783367,25.7657173562601,24.8460298433431,24.9080746496921,25.1431380977969,24.9567536064151,..,..
Arable land (hectares per person),AG.LND.ARBL.HA.PC,United Kingdom,GBR,0.0958285494146981,0.097519294087155,0.0977010561316691,0.0964903756210034,0.0923118708719866,0.0918436853072596,0.0920827197454319,0.0908479709343665,..,..
Arable land (hectares),AG.LND.ARBL.HA,United Kingdom,GBR,6062000,6212000,6265400,6233500,6011000,6026010.5,6082879.4,6037787.4,..,..
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,United Kingdom,GBR,0.5140034204422,0.519136892792446,0.483751011728082,0.466013629046042,0.455006542865663,0.44453187479935,0.435149507226995,0.432402712593728,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,United Kingdom,GBR,165650,169150,159150,154700,152350,150250,148000,148450,..,..
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,United Kingdom,GBR,1055000000,929000000,1608000000,1651000000,1180000000,1393000000,1237000000,703000000,907000000,429000000
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,United Kingdom,GBR,366000000,583000000,494000000,211000000,397000000,259000000,1002000000,519000000,342000000,764000000
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,United Kingdom,GBR,123.42,125.92,128.51,129.51,131.29,129.5,127.94,115.44,110.28,..
Average number of visits or required meetings with tax officials (for affected firms),IC.TAX.METG,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,United Kingdom,GBR,..,1220,..,..,..,..,1220,..,..,..
Average time to clear exports through customs (days),IC.CUS.DURS.EX,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,United Kingdom,GBR,7.72589318099782,7.88377816438233,8.4,7.56153305751592,7.40812406268153,7.34894435860489,7.00945034623146,7.07952007651329,7.281674,6.573495
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,United Kingdom,GBR,5.09956513145533,5.50896288366394,6.34548637462939,5.62132221166489,6.83822926439126,7.02517052448229,6.78469168977896,6.81646006540008,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,United Kingdom,GBR,3.9618682056152,3.58628400773794,3.11174173873799,1.65439245472471,1.01450846580939,0.940161283918784,0.734659749879133,1.07262754451579,..,..
Battle-related deaths (number of people),VC.BTL.DETH,United Kingdom,GBR,..,..,..,..,..,..,..,..,1,..
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,United Kingdom,GBR,100,100,100,100,100,100,99.98,99.98,99.98,..
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,United Kingdom,GBR,100,100,100,100,100,100,100,100,100,..
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,United Kingdom,GBR,100,100,100,100,100,100,99.92,99.92,99.92,..
"Bird species, threatened",EN.BIR.THRD.NO,United Kingdom,GBR,..,..,..,..,..,..,..,11,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Kingdom,GBR,12.8,12.8,12.1,12,11.9,11.8,11.4,11,10.7,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,United Kingdom,GBR,53.68,59.33,..,..,..,..,..,..,..,..
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,United Kingdom,GBR,5.83,6.02,5.92,5.9,4.39,4.39,4.39,4.39,4.39,..
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,United Kingdom,GBR,4.19,4.17,4.15,4.15,3.99,3.99,4,4,4,..
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,United Kingdom,GBR,11.45,11.48,11.14,11.06,5.76,5.76,5.75,5.75,5.75,..
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,United Kingdom,GBR,151.371299987575,147.936079939015,145.228915230687,135.266950789372,133.867999276948,140.059768026662,146.250671296822,148.750252125323,141.693498969919,163.225347637993
Broad money (current LCU),FM.LBL.BMNY.CN,United Kingdom,GBR,2512977013326.73,2532325435572.07,2585562660261.4,2520034114562.07,2569785000000,2793789000000,3025571000000,3185921000000,3142460000000,3447383000000
Broad money growth (annual %),FM.LBL.BMNY.ZG,United Kingdom,GBR,-4.41804958924313,0.769940279705385,2.10230580720378,-2.53440176509608,1.97421475965121,8.71683817906946,8.29633161273095,5.29982604936391,-1.36415811942606,9.70332160154783
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,United Kingdom,GBR,36.6914694410284,34.1440798418818,34.0385580670438,33.3096850795313,26.5078579366292,27.9560113692971,25.8117512555418,24.6167087557092,23.10939225091,24.5466454767172
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,United Kingdom,GBR,10,10,10,10,10,10,10,10,10,..
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,United Kingdom,GBR,601385,631199,632373,755668,705623,703245,726002,700242,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,United Kingdom,GBR,..,..,..,..,8.06694106556286,..,..,..,8.1567751410004,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,United Kingdom,GBR,..,..,..,..,3.44305898990108,..,..,..,3.68614740758269,..
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,United Kingdom,GBR,..,..,..,..,88.4900017661646,..,..,..,88.1570765293416,..
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,United Kingdom,GBR,95.2299232414596,99.2794008540867,95.2320797871862,106.153543087308,105.009530427825,115.016453503062,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,United Kingdom,GBR,1580951000000,1699435000000,1695451000000,1977649000000,2015806000000,2294247000000,..,..,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,United Kingdom,GBR,21484952,19515045,20083467,24468841,24734564,21964131,23000066,21084346,..,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,United Kingdom,GBR,6984.7,6215.1,6631.6,7696.5,7980.9,7022.6,7229,6788.7,..,..
Changes in inventories (constant LCU),NE.GDI.STKB.KN,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Changes in inventories (current LCU),NE.GDI.STKB.CN,United Kingdom,GBR,2616000000,3537000000,8403000000,13972000000,9010000000,2670000000,4633000000,1918000000,5495000000,-12704000000
Changes in inventories (current US$),NE.GDI.STKB.CD,United Kingdom,GBR,4191361709.08657,5587262971.40188,13136654491.5913,22990486858.0629,13765277264.9339,3605017226.27374,5962657024.87197,2558760652.14852,7013892779.1844,-16287188326.1708
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,United Kingdom,GBR,11033756291.9466,9735337296.5823,10694713792.5432,12196985471.3505,12930695025.7907,11823533988.5141,12770275168.1464,14937827833.5422,17562348534.9991,16853200293.2693
