Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
218;Métro;SAINT-SULPICE;1196573;4;;;;;Paris;6
220;Métro;TELEGRAPHE;1194040;11;;;;;Paris;20
227;Métro;RICHARD LENOIR;1148587;5;;;;;Paris;11
230;Métro;MICHEL-ANGE-AUTEUIL;1131814;9;10;;;;Paris;16
231;Métro;LOURMEL;1120497;8;;;;;Paris;15
234;Métro;BUZENVAL;1080500;9;;;;;Paris;20
238;Métro;AVRON;1034013;2;;;;;Paris;11
246;Métro;MAISON BLANCHE;955254;7;;;;;Paris;13
256;Métro;MONCEAU;902347;2;;;;;Paris;17
257;Métro;SAINT-JACQUES;900155;6;;;;;Paris;13
258;Métro;MOUTON-DUVERNET;870679;4;;;;;Paris;14
270;Métro;PIERRE CURIE;780043;7;;;;;Ivry;
275;Métro;CITE;741182;4;;;;;Paris;4
276;Métro;LIEGE;740144;13;;;;;Paris;8
280;Métro;CARDINAL LEMOINE;710141;10;;;;;Paris;5
287;Métro;QUAI DE LA RAPEE;525558;5;;;;;Paris;12
289;Métro;SAINT-GEORGES;523670;12;;;;;Paris;9
13;Métro;HOTEL DE VILLE;5673100;1;11;;;;Paris;4
296;Métro;CHARDON-LAGACHE;331901;10;;;;;Paris;16
18;Métro;MAIRIE DE MONTREUIL;4764601;9;;;;;Montreuil;
303;Métro;PONT CARDINET;112229;14;;;;;Paris;17
20;Métro;BOBIGNY-PABLO PICASSO;4752569;5;;;;;Bobigny;
3;RER;CHATELET-LES HALLES-RER;18301464;A;B;;;;Paris;1
21;Métro;OLYMPIADES;4717069;14;;;;;Paris;13
4;RER;LA DEFENSE-RER;16349130;A;;;;;Puteaux;
27;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;4131018;7;;;;;Aubervilliers;
6;RER;VAL DE FONTENAY;7985198;A;;;;;Fontenay-sous-Bois;
29;Métro;HAVRE-CAUMARTIN;3899956;3;9;;;;Paris;9
7;RER;MASSY-PALAISEAU;5163200;B;;;;;Massy;
38;Métro;TROCADERO;3618422;6;9;;;;Paris;16
18;RER;ANTONY;2790880;B;;;;;Antony;
39;Métro;LA COURNEUVE-8 MAI 1945;3611264;7;;;;;La Courneuve;
26;RER;JOINVILLE-LE-PONT;2314407;A;;;;;Joinville-le-Pont;
48;Métro;PORTE D'ORLEANS;3314496;4;;;;;Paris;14
30;RER;NANTERRE-UNIVERSITE;2024836;A;;;;;Nanterre;
49;Métro;GAMBETTA;3310515;3;3bis;;;;Paris;20
34;RER;NOISIEL;1868878;A;;;;;Noisiel;
58;Métro;GEORGE V;2871038;1;;;;;Paris;8
35;RER;PORT ROYAL;1824145;B;;;;;Paris;5
59;Métro;MARCEL SEMBAT;2845520;9;;;;;Boulogne Billancourt;
38;RER;NOGENT-SUR-MARNE;1703324;A;;;;;Nogent-sur-Marne;
63;Métro;DAUMESNIL;2723508;6;8;;;;Paris;12
39;RER;FONTENAY-SOUS-BOIS;1586673;A;;;;;Fontenay-sous-Bois;
82;Métro;MAIRIE DES LILAS;2563685;11;;;;;Les Lilas;
46;RER;CHATOU-CROISSY;1230132;A;;;;;Chatou;
84;Métro;PIGALLE;2496923;2;12;;;;Paris;18
49;RER;LE VESINET-LE PECQ;1156100;A;;;;;Le Vésinet;
88;Métro;ANVERS;2450333;2;;;;;Paris;18
57;RER;FONTAINE-MICHALON;425164;B;;;;;Antony;
89;Métro;PORTE DE VERSAILLES;2449859;12;;;;;Paris;15
3;Métro;GARE DE LYON;22232810;1;14;A;;;Paris;12
62;RER;GIF-SUR-YVETTE;324780;B;;;;;Gif sur Yvette;
96;Métro;PORTE DE CLICHY;2352078;13;14;;;;Paris;17
5;Métro;GARE DE L'EST;11715190;4;5;7;;;Paris;10
64;RER;PARC DE SCEAUX;286202;B;;;;;Antony;
105;Métro;SAINT-DENIS-PORTE DE PARIS;2236506;13;;;;;Saint Denis;
7;Métro;LA DEFENSE;8616589;1;;;;;Puteaux;
109;Métro;LES COURTILLES;2194218;13;;;;;Asnières sur Seine;
9;Métro;REPUBLIQUE;6988692;3;5;8;9;11;Paris;11
123;Métro;PORTE DE LA VILLETTE;1981878;7;;;;;Paris;19
12;Métro;BELLEVILLE;5680933;2;11;;;;Paris;10
133;Métro;DENFERT-ROCHEREAU;1818730;4;6;;;;Paris;14
30;Métro;REUILLY-DIDEROT;3860750;1;8;;;;Paris;12
139;Métro;LOUISE MICHEL;1735982;3;;;;;Levallois-Perret;
34;Métro;CHATEAU DE VINCENNES;3735738;1;;;;;Vincennes;
157;Métro;COURONNES;1623475;2;;;;;Paris;11
35;Métro;PALAIS-ROYAL;3678654;1;7;;;;Paris;1
163;Métro;MALAKOFF-PLATEAU DE VANVES;1581749;13;;;;;Malakoff;
36;Métro;PONT DE NEUILLY;3678074;1;;;;;Neuilly Sur Seine;
165;Métro;PORTE DE CHAMPERRET;1576691;3;;;;;Paris;17
42;Métro;SAINT-MANDE-TOURELLE;3487584;1;;;;;Saint Mandé;
168;Métro;SAINT-AUGUSTIN;1563979;9;;;;;Paris;8
43;Métro;MAIRIE DE MONTROUGE;3456791;4;;;;;Montrouge;
171;Métro;SAINT-AMBROISE;1544174;9;;;;;Paris;11
47;Métro;MAIRIE DE CLICHY;3316323;13;;;;;Clichy;
185;Métro;PERNETY;1395770;13;;;;;Paris;14
52;Métro;MARCADET-POISSONNIERS;3169019;4;12;;;;Paris;18
186;Métro;MAISONS-ALFORT-STADE;1393467;8;;;;;Maisons -Alfort;
54;Métro;JAURES;3148221;2;5;7bis;;;Paris;19
187;Métro;RAMBUTEAU;1389112;11;;;;;Paris;3
55;Métro;PYRAMIDES;3048580;7;14;;;;Paris;1
188;Métro;RUE DES BOULETS;1383972;9;;;;;Paris;11
61;Métro;COUR SAINT-EMILION;2792734;14;;;;;Paris;12
190;Métro;PASSY;1380218;6;;;;;Paris;16
66;Métro;INVALIDES;2678838;8;13;;;;Paris;7
193;Métro;SAINT-PHILIPPE-DU-ROULE;1353374;9;;;;;Paris;8
69;Métro;PONT DE SEVRES;2651763;9;;;;;Boulogne Billancourt;
197;Métro;LOUVRE;1328080;1;;;;;Paris;1
70;Métro;BIR-HAKEIM;2644407;6;;;;;Paris;15
200;Métro;LES AGNETTES;1283180;13;;;;;Asnières sur Seine;
72;Métro;SAINT-DENIS-UNIVERSITE;2626602;13;;;;;Saint Denis;
201;Métro;PORTE DE LA CHAPELLE;1276901;12;;;;;Paris;18
77;Métro;HOCHE;2616315;5;;;;;Pantin;
202;Métro;PLACE MONGE;1269871;7;;;;;Paris;6
80;Métro;PORTE DE SAINT-CLOUD;2576290;9;;;;;Paris;16
208;Métro;BROCHANT;1227003;13;;;;;Paris;17
83;Métro;PERE LACHAISE;2503028;2;3;;;;Paris;20
215;Métro;CARREFOUR PLEYEL;1205747;13;;;;;Saint Denis;
91;Métro;ODEON;2412888;4;10;;;;Paris;6
226;Métro;CORVISART;1157408;6;;;;;Paris;13
94;Métro;COLONEL FABIEN;2378863;2;;;;;Paris;10
233;Métro;IENA;1093805;9;;;;;Paris;16
102;Métro;PORTE DE BAGNOLET;2244934;3;;;;;Paris;20
241;Métro;VAVIN;1009201;4;;;;;Paris;14
103;Métro;LE KREMLIN-BICETRE;2244686;7;;;;;Kremlin-Bicêtre;
247;Métro;QUATRE-SEPTEMBRE;938821;3;;;;;Paris;2
116;Métro;MAIRIE D'ISSY;2083392;12;;;;;Issy Les Moulineaux;
251;Métro;SEVRES-LECOURBE;923347;6;;;;;Paris;15
124;Métro;DUROC;1972711;10;13;;;;Paris;7
260;Métro;ABBESSES;854658;12;;;;;Paris;18
126;Métro;CHEVALERET;1923876;6;;;;;Paris;13
264;Métro;AVENUE EMILE ZOLA;823178;10;;;;;Paris;15
132;Métro;GONCOURT;1829817;11;;;;;Paris;11
267;Métro;MONTGALLET;804190;8;;;;;Paris;12
134;Métro;CHARONNE;1815517;9;;;;;Paris;12
269;Métro;FILLES DU CALVAIRE;784137;8;;;;;Paris;3
144;Métro;SAINT-GERMAIN DES PRES;1712923;4;;;;;Paris;6
274;Métro;TRINITE-D'ESTIENNE D'ORVES;757661;12;;;;;Paris;9
146;Métro;TERNES;1703632;2;;;;;Paris;17
281;Métro;CHEMIN VERT;685924;8;;;;;Paris;11
151;Métro;JOURDAIN;1683473;11;;;;;Paris;20
284;Métro;PONT NEUF;605030;7;;;;;Paris;4
176;Métro;PARMENTIER;1499805;3;;;;;Paris;11
290;Métro;KLEBER;513955;6;;;;;Paris;16
195;Métro;SAINT-MAUR;1331250;3;;;;;Paris;11
294;Métro;ASSEMBLEE NATIONALE;395997;12;;;;;Paris;7
199;Métro;LAMARCK-CAULAINCOURT;1283881;12;;;;;Paris;18
297;Métro;BOLIVAR;278933;7bis;;;;;Paris;19
204;Métro;CADET;1240692;7;;;;;Paris;9
298;Métro;DANUBE;266623;7bis;;;;;Paris;19
212;Métro;SAINT-MARCEL;1211679;5;;;;;Paris;13
300;Métro;BUTTES-CHAUMONT;242027;7bis;;;;;Paris;19
213;Métro;CRETEIL-L'ECHAT;1209224;8;;;;;Créteil;
302;Métro;PELLEPORT;178325;3bis;;;;;Paris;20
223;Métro;NOTRE-DAME-DE-LORETTE;1176983;12;;;;;Paris;9
8;RER;NOISY-LE-GRAND-MONT D'EST;4492037;A;;;;;Noisy-le-Grand;
228;Métro;PORTE DE CHARENTON;1146232;8;;;;;Paris;12
13;RER;NEUILLY-PLAISANCE;3726798;A;;;;;Neuilly-sur-Seine;
236;Métro;EXELMANS;1055609;9;;;;;Paris;16
15;RER;NOISY-CHAMPS;3393192;A;;;;;Champs-sur-Marne;
240;Métro;EDGAR QUINET;1011168;6;;;;;Paris;14
19;RER;SAINT-MICHEL-NOTRE-DAME;2716148;B;;;;;Paris;
243;Métro;BREGUET-SABIN;1003059;5;;;;;Paris;11
23;RER;BOURG-LA-REINE;2409369;B;;;;;Bourg la Reine;
245;Métro;LA TOUR-MAUBOURG;965136;8;;;;;Paris;7
32;RER;ARCUEIL-CACHAN;1900758;B;;;;;Arcueil;
250;Métro;SOLFERINO;923536;12;;;;;Paris;7
36;RER;LA CROIX DE BERNY;1799762;B;;;;;Antony;
255;Métro;MAISONS-ALFORT-LES JUILLIOTTES;905627;8;;;;;Maisons -Alfort;
42;RER;ORSAY-VILLE;1383444;B;;;;;Orsay;
265;Métro;SAINT-SEBASTIEN-FROISSART;816381;8;;;;;Paris;3
50;RER;LES BACONNETS;1098252;B;;;;;Antony;
266;Métro;SAINT-FRANCOIS-XAVIER;812792;13;;;;;Paris;7
52;RER;LE VESINET-CENTRE;760964;A;;;;;Le Vésinet;
272;Métro;EUROPE;769896;3;;;;;Paris;8
53;RER;FONTENAY-AUX-ROSES;665966;B;;;;;Fontenay aux roses;
273;Métro;SULLY-MORLAND;767233;7;;;;;Paris;4
54;RER;PALAISEAU;518346;B;;;;;Palaiseau;
285;Métro;PICPUS;595063;6;;;;;Paris;12
58;RER;LE GUICHET;389736;B;;;;;Orsay;
295;Métro;SAINT-FARGEAU;339164;3bis;;;;;Paris;8
63;RER;MASSY-VERRIERES;296614;B;;;;;Massy;
10;RER;CHARLES DE GAULLE-ETOILE-RER;4070214;A;;;;;Paris;17
11;RER;AUBER;3956779;A;;;;;Paris;9
14;RER;RUEIL-MALMAISON;3408182;A;;;;;Rueil-Malmaison;
20;RER;SAINT-GERMAIN-EN-LAYE;2644464;A;;;;;Saint-Germain-en-Laye;
22;RER;TORCY;2448031;A;;;;;Torcy;
24;RER;DENFERT-ROCHEREAU-RER;2351759;B;;;;;Paris;14
27;RER;CHAMPIGNY;2209619;A;;;;;Saint-Maur des Fossés;
29;RER;SAINT-MAUR-CRETEIL;2151064;A;;;;;Saint-Maur des Fossés;
40;RER;SUCY-BONNEUIL;1546784;A;;;;;Sucy-en-Brie;
45;RER;LE PARC DE SAINT-MAUR;1240624;A;;;;;Saint-Maur des Fossés;
47;RER;LA VARENNE-CHENNEVIERES;1209310;A;;;;;saint-Maur des Fossés;
56;RER;PALAISEAU-VILLEBON;444921;B;;;;;Palaiseau;
60;RER;SCEAUX;358354;B;;;;;sceaux;
65;RER;COURCELLE-SUR-YVETTE;280118;B;;;;;Gif sur Yvette;
