TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
SANISETTE;;face au 30 AVENUE REILLE;75014;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.339488403872547, 48.82454102425052]]}";48.8245410243,2.33948840387;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 36 RUE DIDOT;75014;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.320178958056874, 48.831657967806095]]}";48.8316579678,2.32017895806;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE PAUL GRIMAULT;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-paul-grimault-2567;"{""type"": ""MultiPoint"", ""coordinates"": [[2.34850913926846, 48.82302967451198]]}";48.8230296745,2.34850913927;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE FERDINAND BRUNOT;75014;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-de-l-aspirant-dunand-2543;"{""type"": ""MultiPoint"", ""coordinates"": [[2.32688024224376, 48.83229243383418]]}";48.8322924338,2.32688024224;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;JARDIN CLAIRE MOTTE;75017;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-claire-motte-2820;"{""type"": ""MultiPoint"", ""coordinates"": [[2.304142774509969, 48.89189723480619]]}";48.8918972348,2.30414277451;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARES DES ARENES DE LUTECE ET CAPITAN;75005;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-des-arenes-de-lutece-et-square-capitan-1760;"{""type"": ""MultiPoint"", ""coordinates"": [[2.35324384799468, 48.845456222716194]]}";48.8454562227,2.35324384799;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;AVENUE DE SUFFREN;75015;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.308909490180235, 48.846023120096504]]}";48.8460231201,2.30890949018;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;132  BOULEVARD BESSIERES;75017;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.314293551735199, 48.894846104664346]]}";48.8948461047,2.31429355174;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;36  RUE DE LA CHARBONNIERE;75018;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.352186422605598, 48.88410387025656]]}";48.8841038703,2.35218642261;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;57  BOULEVARD DIDEROT;75012;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.384207324504984, 48.84713481514029]]}";48.8471348151,2.3842073245;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE DE LA PLACE DE LA REUNION;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-de-la-place-de-la-reunion-2705;"{""type"": ""MultiPoint"", ""coordinates"": [[2.401508681870862, 48.85581626348992]]}";48.8558162635,2.40150868187;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;23  BOULEVARD NEY;75018;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.362386603106506, 48.8984120785467]]}";48.8984120785,2.36238660311;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;25  RUE PASTOURELLE;;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.359364861798902, 48.86274437683079]]}";48.8627443768,2.3593648618;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 97 RUE DU CHEVALERET;75013;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.375200718397584, 48.83032574552438]]}";48.8303257455,2.3752007184;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE CLAUDE BERNARD;75019;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-claude-bernard-2682;"{""type"": ""MultiPoint"", ""coordinates"": [[2.374464613571059, 48.899251737173394]]}";48.8992517372,2.37446461357;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 32  BOULEVARD EDGAR QUINET;75014;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.326831211101864, 48.84047147744345]]}";48.8404714774,2.3268312111;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE MAURICE GARDETTE;75011;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-maurice-gardette-2725;"{""type"": ""MultiPoint"", ""coordinates"": [[2.378748375701655, 48.86145746772124]]}";48.8614574677,2.3787483757;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;JARDIN DE LA FOLIE TITON;75011;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-de-la-folie-titon-2842;"{""type"": ""MultiPoint"", ""coordinates"": [[2.385387214042942, 48.8521493384893]]}";48.8521493385,2.38538721404;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;73  QUAI BRANLY;75015;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.291104558604042, 48.8572621090066]]}";48.857262109,2.2911045586;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;4  AVENUE NIEL;75017;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.294473730079965, 48.87892079748371]]}";48.8789207975,2.29447373008;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;296  RUE DES PYRENEES;75020;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.392052330778927, 48.871931093994846]]}";48.871931094,2.39205233078;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;4  RUE POLIVEAU;;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.361273263570859, 48.8403933177024]]}";48.8403933177,2.36127326357;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;12  PLACE DE LA REPUBLIQUE;75010;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.363409140558088, 48.86839539424431]]}";48.8683953942,2.36340914056;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;2  RUE FERNAND FOUREAU;75012;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.411269397772902, 48.8461981514924]]}";48.8461981515,2.41126939777;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;27  AVENUE D IVRY;75013;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.366856434532854, 48.82266348081883]]}";48.8226634808,2.36685643453;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE DE LA RUE JEAN DUNAND (ZAC BAUDRICOURT);75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-baudricourt-2853;"{""type"": ""MultiPoint"", ""coordinates"": [[2.364376697938306, 48.823048021231]]}";48.8230480212,2.36437669794;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;PLACE SUZANNE VALADON;75018;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.342736029209813, 48.8844550476974]]}";48.8844550477,2.34273602921;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;135 bis BOULEVARD DU MONTPARNASSE;;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.332328604387268, 48.841202569450836]]}";48.8412025695,2.33232860439;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 148 BOULEVARD DE MENILMONTANT;75020;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.383389726625512, 48.86675503488674]]}";48.8667550349,2.38338972663;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;2  RUE DE LA LINGERIE;;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.346478360952597, 48.86028377588714]]}";48.8602837759,2.34647836095;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 4 BOULEVARD RICHARD LENOIR;75011;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.36970018383113, 48.853983171388194]]}";48.8539831714,2.36970018383;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;opposé au 13 BOULEVARD DE MENILMONTANT;75011;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.389122267946412, 48.85923461154838]]}";48.8592346115,2.38912226795;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;259 bis AVENUE DAUMESNIL;75012;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.404394145483592, 48.83651368622266]]}";48.8365136862,2.40439414548;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 1 RUE DE METZ;75010;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.354561497762248, 48.87075131711197]]}";48.8707513171,2.35456149776;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 85 bis BOULEVARD DE MAGENTA;75010;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.355100900623778, 48.87715340155667]]}";48.8771534016,2.35510090062;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 182 RUE DU FAUBOURG SAINT MARTIN;75010;6 h - 1 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.361645690432077, 48.878147412171884]]}";48.8781474122,2.36164569043;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE DE L'OISEAU LUNAIRE;75015;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-de-l-oiseau-lunaire-ex-blomet-2519;"{""type"": ""MultiPoint"", ""coordinates"": [[2.305588174307816, 48.842135463891644]]}";48.8421354639,2.30558817431;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;JARDIN BRASSAI;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-brassai-2571;"{""type"": ""MultiPoint"", ""coordinates"": [[2.349436628957497, 48.828587086078144]]}";48.8285870861,2.34943662896;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 90 BOULEVARD DE LA CHAPELLE;75018;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.353429267194319, 48.884078653316436]]}";48.8840786533,2.35342926719;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;RUE DU FAUBOURG SAINT MARTIN;75010;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.360463576080204, 48.875749513351415]]}";48.8757495134,2.36046357608;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;29  RUE ROLAND BARTHES;75012;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.3774441851341352, 48.8444926838465]]}";48.8444926838,2.37744418513;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;98  BOULEVARD ARAGO;75014;6 h - 1 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.336803885060248, 48.834735549474466]]}";48.8347355495,2.33680388506;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;JARDIN VILLEMIN;75010;Voir fiche équipement;Non;Oui;https://www.paris.fr/equipements/jardin-villemin-1798;"{""type"": ""MultiPoint"", ""coordinates"": [[2.360586587773963, 48.87495187562732]]}";48.8749518756,2.36058658777;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;QUAI BRANLY;75015;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.28986840169592, 48.85553274383494]]}";48.8555327438,2.2898684017;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;213  AVENUE JEAN JAURES;75019;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.393095759882974, 48.888951442257486]]}";48.8889514423,2.39309575988;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 5 PLACE DU COMMERCE;75015;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.292182467856254, 48.845378213876145]]}";48.8453782139,2.29218246786;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;AVENUE PAUL DOUMER;75016;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.286382033570447, 48.862157963392185]]}";48.8621579634,2.28638203357;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;23  RUE LAMBERT;75018;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.3451542761026403, 48.889063914793674]]}";48.8890639148,2.3451542761;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;90  BOULEVARD DE SEBASTOPOL;;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.352544366189737, 48.86601791753035]]}";48.8660179175,2.35254436619;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;BOULEVARD MALESHERBES;;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.323053984722453, 48.87072323445267]]}";48.8707232345,2.32305398472;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE DE LA ROQUETTE;75011;Voir fiche équipement;Non;Oui;https://www.paris.fr/equipements/square-marcel-rajman-16638;"{""type"": ""MultiPoint"", ""coordinates"": [[2.384662193346415, 48.85998930823249]]}";48.8599893082,2.38466219335;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE MARIE CURIE;75013;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-marie-curie-2496;"{""type"": ""MultiPoint"", ""coordinates"": [[2.363377117758927, 48.84118348892286]]}";48.8411834889,2.36337711776;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;22  RUE GROS;75016;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.275488761174221, 48.85129267928767]]}";48.8512926793,2.27548876117;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;69  AVENUE DE FLANDRE;75019;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.373924071910594, 48.888695362745985]]}";48.8886953627,2.37392407191;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;44  BOULEVARD MALESHERBES;;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.320451685354317, 48.87435840225736]]}";48.8743584023,2.32045168535;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;25  BOULEVARD DE LA VILLETTE;75010;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.375281769902509, 48.87348074198408]]}";48.873480742,2.3752817699;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;opposé au 3 RUE DE L ABBE SOULANGE BODIN;75014;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.317797978892912, 48.83548610047364]]}";48.8354861005,2.31779797889;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE SERGENT AURELIE SALEL;75020;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-du-sergent-aurelie-salel-ex-sorbier-2717;"{""type"": ""MultiPoint"", ""coordinates"": [[2.391297908966135, 48.867159406218995]]}";48.8671594062,2.39129790897;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
